"ShaderTypeName","ShaderType","Frequency","NumShaders","ShadersSize"
"FHairDebugShadowCullingCS","Global","SF_Compute","1","26655"
"FHairEnvironmentAO","Global","SF_Pixel","2","12742"
"FHairEnvironmentLightingPS","Global","SF_Pixel","10","142190"
"FHairEnvironmentLightingVS","Global","SF_Vertex","1","2570"
"FHairFollicleMaskPS","Global","SF_Pixel","1","2355"
"FHairFollicleMaskVS","Global","SF_Vertex","2","5291"
"FHairHoldoutPS","Global","SF_Pixel","1","1595"
"FHairInitMeshSamplesCS","Global","SF_Compute","2","5286"
"FHairInterpolationCS","Global","SF_Compute","158","1158732"
"FHairLUTCS","Global","SF_Compute","2","7267"
"FHairLightSampleClearPS","Global","SF_Pixel","1","1811"
"FHairLightSampleClearVS","Global","SF_Vertex","1","2516"
"FHairMacroGroupAABBCS","Global","SF_Compute","1","4413"
"FHairMeshesInterpolateCS","Global","SF_Compute","1","2989"
"FHairPatchAttributeCS","Global","SF_Compute","2","5071"
"FHairPrintLODInfoCS","Global","SF_Compute","1","9527"
"FHairProjectionHairDebugCS","Global","SF_Compute","2","71780"
"FHairRaytracingGeometryCS","Global","SF_Compute","4","20633"
"FHairResourceTransitionPass","Global","SF_Compute","5","14044"
"FHairStrandCopyPositionCS","Global","SF_Compute","1","2264"
"FHairStrandTextureClearCS","Global","SF_Compute","1","2755"
"FHairStrandTextureCopyCS","Global","SF_Compute","1","2126"
"FHairStrandTextureDilationCS","Global","SF_Compute","1","3735"
"FHairStrandsClearTransmittanceMaskCS","Global","SF_Compute","1","1755"
"FHairStrandsDeepShadowMaskPS","Global","SF_Pixel","5","27165"
"FHairStrandsDeepShadowTransmittanceMaskCS","Global","SF_Compute","2","29348"
"FHairStrandsEmitHitProxyIdPS","Global","SF_Pixel","1","3199"
"FHairStrandsEmitSelectionPS","Global","SF_Pixel","1","3476"
"FHairStrandsForwardRasterBinningCS","Global","SF_Compute","1","7548"
"FHairStrandsForwardRasterCompactionCS","Global","SF_Compute","1","4595"
"FHairStrandsForwardRasterDebugCS","Global","SF_Compute","1","13536"
"FHairStrandsForwardRasterPrepareDepthGridCS","Global","SF_Compute","1","2492"
"FHairStrandsForwardRasterRasterizeCS","Global","SF_Compute","2","34930"
"FHairStrandsPlotBSDFPS","Global","SF_Pixel","1","3647"
"FHairStrandsPlotSamplePS","Global","SF_Pixel","1","6524"
"FHairStrandsPositionChangedCS","Global","SF_Compute","1","6582"
"FHairStrandsShadowDepthInjectionPS","Global","SF_Pixel","1","5672"
"FHairStrandsShadowDepthInjectionVS","Global","SF_Vertex","1","3125"
"FHairStrandsTextureCS","Global","SF_Compute","1","10113"
"FHairStrandsTexturePS","Global","SF_Pixel","1","2143"
"FHairStrandsTextureVS","Global","SF_Vertex","1","2847"
"FHairStrandsTileCopyArgsPassCS","Global","SF_Compute","1","2589"
"FHairStrandsTileDebugPassPS","Global","SF_Pixel","1","2110"
"FHairStrandsTileDebugPrintPassCS","Global","SF_Compute","1","12052"
"FHairStrandsTileGenerationPassCS","Global","SF_Compute","4","15174"
"FHairStrandsTilePassVS","Global","SF_Vertex","1","2366"
"FHairStrandsVoxelShadowMaskPS","Global","SF_Pixel","2","14572"
"FHairStrandsVoxelTransmittanceMaskCS","Global","SF_Compute","16","138175"
"FHairTangentCS","Global","SF_Compute","2","5858"
"FHairTileClearCS","Global","SF_Compute","1","2316"
"FHairTranscodeCS","Global","SF_Compute","2","5089"
"FHairUpdateMeshSamplesCS","Global","SF_Compute","1","2583"
"FHairUpdateMeshTriangleCS","Global","SF_Compute","4","19664"
